ID,CAS,name,molecular formula,chemical structure,B3,C4,C3,C2,N+3,N3,N2,N1,O-1,O2,O1,F1,P4,S4,S3,S1,Cl1,R4,R5,R6,R7,OP
177,916678-13-2,"2,2-Difluoroethyl Methyl Carbonate",C4H6F2O3,,0,3,1,0,0,0,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0,4.56
178,156783-95-8,"Methyl 2,2,2-trifluoroethyl carbonate",C4H5F3O3,,0,3,1,0,0,0,0,0,0,2,1,3,0,0,0,0,0,0,0,0,0,4.8
179,56525-42-9,Methyl propyl carbonate (MPC) ,C5H10O3,,0,4,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,3.88
180,872353-07-6,3-Fluoropropyl methyl carbonate,C5H9FO3,,0,4,1,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,4.1
181,-,Carbonic acid methyl 2-fluoropropyl ester,C5H9FO3,,0,4,1,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,4.32
182,-,"Carbonic acid methyl 3,3,3-trifluoropropyl ester",C5H7F3O3,,0,4,1,0,0,0,0,0,0,2,1,3,0,0,0,0,0,0,0,0,0,4.51
183,156783-98-1,"Methyl 2,2,3,3-tetrafluoropropyl carbonate ",C5H6F4O3,,0,4,1,0,0,0,0,0,0,2,1,4,0,0,0,0,0,0,0,0,0,4.66
184,156783-97-0,"Methyl 2,2,3,3,3-pentafluoropropyl carbonate",C5H5F5O3,,0,4,1,0,0,0,0,0,0,2,1,5,0,0,0,0,0,0,0,0,0,4.77
185,35363-40-7,Ethyl propyl carbonate (EPC),C6H12O3,,0,5,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,4.39
186,35363-39-4,Ethyl propan-2-yl carbonate,C6H12O3,,0,5,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,4.04
187,51729-83-0,Methyl isopropyl carbonate,C5H10O3,,0,4,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,4.11
188,127213-73-4,"4-(Fluoromethyl)-1,3-dioxolan-2-one (FPC)",C4H5FO3,,0,3,1,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,1,0,0,4.66
189,4437-85-8,"4-Ethyl-1,3-dioxolan-2-one (BC)",C5H8O3 ,,0,4,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,4.5
190,-,3-(Methylsulfonyl)propyl methyl carbonate,C6H12O5S,,0,5,1,0,0,0,0,0,0,2,3,0,0,1,0,0,0,0,0,0,0,3.67
191,-,Ethyl 3-methylsulfonylpropyl carbonate,C7H14O5S,,0,6,1,0,0,0,0,0,0,2,3,0,0,1,0,0,0,0,0,0,0,3.66
192,-,2-{[(3-methanesulfonylpropoxy)carbonyl]oxy}propane,C8H16O5S,,0,7,1,0,0,0,0,0,0,2,3,0,0,1,0,0,0,0,0,0,0,3.64
193,1513-87-7,"Bis(2,2,2-trifluoroethyl) Carbonate",C5H4F6O3,,0,4,1,0,0,0,0,0,0,2,1,6,0,0,0,0,0,0,0,0,0,5.15
194,2171-74-6,"1,3-Benzodioxol-2-one",C7H4O3,,0,0,7,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,1,0,2.903
195,205673-79-6,"(S)-4-Ethenyl-1,3-dioxolan-2-one",C5H6O3,,0,2,3,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,3.23
196,4427-94-5,"1,3-Dioxepan-2-one",C5H8O3,,0,4,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,3.92
197,4437-70-1,"4,5-Dimethyl-1,3-dioxolan-2-one",C5H8O3,,0,4,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,4.42
198,35466-83-2,Allyl methyl carbonate,C5H8O3,,0,2,3,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,3.18
