ID,CAS,name,molecular formula,chemical structure,B3,C4,C3,C2,N+3,N3,N2,N1,O-1,O2,O1,F1,P4,S4,S3,S1,Cl1,R4,R5,R6,R7,OP
295,25414-22-6,2-Methoxyfuran,C5H6O2,,0,1,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1.72
296,3420-57-3,3-Methoxyfuran ,C5H6O2,,0,1,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,2
297,3208-16-0,2-Ethylfuran ,C6H8O,,0,2,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2.1
298,14920-89-9,"2,3-Dimethylfuran ",C6H8O,,0,2,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1.86
299,13423-15-9,3-Methyltetrahydrofuran,C5H10O,,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2.9
300,96-47-9,2-Methyltetrahydrofuran ,C5H10O,,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2.84
301,5878-19-3,Methoxyacetone,C4H8O2,,0,3,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2.67
302,78-95-5,Chloroacetone,C3H5ClO ,,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3.49
303,298-08-8,Aminoacetone,C3H7NO,,0,2,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2.12
304,430-51-3,Fluoroacetone,C3H5FO,,0,2,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3.51
305,106-35-4,3-Heptanone,C7H14O,,0,6,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2.94
306,78-93-3,Methyl Ethyl Ketone,C4H8O,,0,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3.11
307,108-29-2,gamma-Valerolactone,C5H8O2,,0,4,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,3.77
